Distance (km),Error (m)
1.25E-07,-0.124638569
2.65E-07,0.01756897
4.84E-07,-0.440928097
7.99E-07,0.261399068
1.23E-06,-0.195226298
1.78E-06,-0.657558029
2.49E-06,-0.740893858
3.36E-06,0.149681205
4.42E-06,0.017866143
5.67E-06,-0.266716522
7.14E-06,0.163871755
8.85E-06,0.108401387
1.08E-05,-0.377442083
1.30E-05,0.00613918
1.56E-05,-0.282891957
1.84E-05,0.133776807
2.15E-05,0.544341328
2.50E-05,-0.309133671
2.88E-05,0.183321957
3.31E-05,-0.298786407
3.77E-05,0.281421272
4.27E-05,0.104540916
4.81E-05,-0.799009431
5.40E-05,-0.47584401
6.03E-05,-0.023140586
6.72E-05,-0.088984304
7.45E-05,-0.289971031
8.23E-05,0.578682816
9.07E-05,-0.282438694
9.96E-05,0.362181258
0.000109082,0.491757705
0.000119143,-0.451655526
0.000129805,0.126797556
0.000141084,0.221740813
0.000152998,-0.907935029
0.000165565,-0.360109363
0.000178802,-0.799669898
0.000192727,-0.302504028
0.000207356,-0.636081317
0.000222707,-0.192908407
0.000238798,-0.652712995
0.000255646,-0.224758598
0.000273268,-0.886835474
0.000291682,0.509944371
0.000310905,0.103582781
0.000330955,-0.553643976
0.000351849,-0.113989287
0.000373604,-1.175979144
0.000396238,-0.515471218
0.000419768,-0.18179732
0.000444211,0.771916798
0.000469586,1.117774074
0.000495909,0.210462946
0.000523197,-0.258288122
0.000551469,0.275947572
0.000580741,-0.245467177
0.000611032,0.636282191
0.000642357,-0.086842249
0.000674736,0.288976587
0.000708184,-0.376938474
0.00074272,-0.235579004
0.000778361,-0.185858148
0.000815125,-0.486923625
0.000853028,-0.656686956
0.000892088,-0.261746866
0.000932323,-0.76887511
0.00097375,0.130098017
0.001016386,0.73073196
0.001060249,-0.044883105
0.001105356,0.566705166
0.001151725,0.021771401
0.001199372,0.293630207
0.001248316,0.258548899
0.001298574,-0.270295412
0.001350162,-0.641987546
0.0014031,-0.321026768
0.001457403,-0.024184604
0.001513089,-0.722516529
0.001570177,-0.844444964
0.001628682,0.992052671
0.001688623,0.47543388
0.001750017,-0.301708073
0.001812881,0.005345884
0.001877233,-0.604287868
0.00194309,-0.412317003
0.00201047,0.190573616
0.00207939,0.238179363
0.002149867,-0.866500581
0.002221918,-0.517390206
0.002295562,-1.576450093
0.002370815,-0.185159756
0.002447695,0.368997614
0.00252622,-0.137304562
0.002606406,-0.070740387
0.002688272,0.14645173
0.002771833,-0.215732477
0.002857109,0.041368023
0.002944116,0.091722526
0.003032872,-0.095028532
0.003123394,-0.553308338
0.0032157,0.307444564
0.003309806,-0.017150698
0.003405731,0.796382565
0.003503491,-0.127057544
0.003603105,-1.03618936
0.003704589,0.366908676
0.003807961,0.07572444
0.003913238,-0.112007038
0.004020438,-0.408322079
0.004129578,-0.036731428
0.004240676,0.432749137
0.004353748,0.233241365
0.004468813,-0.877720075
0.004585888,0.188837893
0.004704989,-0.797028211
0.004826135,-1.048286279
0.004949343,0.187324347
0.005074631,-0.499600156
0.005202015,-0.120522063
0.005331513,-0.087254981
0.005463142,0.686112044
0.005596921,-0.124987045
0.005732866,-1.154782594
0.005870994,-0.232802715
0.006011324,-0.567052924
0.006153872,-1.051788767
0.006298656,0.501476365
0.006445693,0.639979089
0.006595001,0.695881453
0.006746597,0.285649919
0.006900499,0.174092599
0.007056724,0.082918013
0.007215288,-1.991490705
0.007376211,0.253047838
0.007539508,-0.367615252
0.007705198,-0.07721043
0.007873298,0.659712177
0.008043825,0.266731871
0.008216797,0.637646421
0.008392231,0.278188905
0.008570145,0.172296829
0.008750555,0.250025667
0.008933479,1.845478648
0.009118936,0.224964966
0.009306941,0.345189893
0.009497513,-0.70387154
0.009690669,-0.218999398
0.009886425,-0.782681189
0.010084801,0.607040744
0.010285813,0.022866156
0.010489478,-0.882335391
0.010695814,0.306874838
0.010904838,-0.540224921
0.011116568,-0.584574164
0.011331021,-0.759691227
0.011548215,0.476670669
0.011768166,0.165871937
0.011990893,1.022852441
0.012216412,0.161527935
0.012444742,0.027979684
0.012675899,-0.149863247
0.0129099,0.441514346
0.013146764,-0.808090591
0.013386508,-0.109456869
0.013629149,0.247899196
0.013874704,0.115406839
0.014123191,-0.132908665
0.014374627,0.21959612
0.01462903,0.414683466
0.014886417,-1.439005528
0.015146805,0.756049597
0.015410213,0.910009285
0.015676656,-0.069729764
0.015946153,0.964329065
0.016218722,0.120001775
0.016494378,-0.313488567
0.016773141,-0.647545731
0.017055027,0.643570753
0.017340053,-0.615858475
0.017628238,0.590588607
0.017919597,0.289678146
0.01821415,-0.38216443
0.018511913,-0.041366449
0.018812904,0.34254986
0.01911714,-0.346304498
0.019424638,-0.274823113
0.019735416,-0.37521839
0.020049491,-0.162870064
0.020366881,0.00861645
0.020687603,0.92312812
0.021011674,0.683659453
0.021339112,0.809594058
0.021669934,0.331155745
0.022004158,0.284362682
0.022341802,-0.384072276
0.022682881,-0.203203018
0.023027414,0.127508279
0.023375419,-0.212230848
0.023726912,-0.476204036
0.024081911,-0.431547255
0.024440434,0.056832388
0.024802497,0.129778547
0.025168119,0.511074631
0.025537316,-0.546719652
0.025910107,-1.049790377
0.026286507,0.218380472
0.026666536,0.360074787
0.02705021,0.171134193
0.027437546,-0.364169033
0.027828563,-0.038814519
0.028223276,0.494164799
0.028621705,0.250425917
0.029023866,-0.454330722
0.029429777,0.38713919
0.029839454,0.806857066
0.030252916,0.10657762
0.03067018,-0.144147473
0.031091263,0.087043319
0.031516182,-0.228415652
0.031944956,-1.402687585
0.032377601,-0.207556062
0.032814135,-0.037376613
0.033254575,-1.114723125
0.033698938,-0.035636643
0.034147243,0.809003298
0.034599506,-0.300673709
0.035055745,-0.696313249
0.035515977,0.389719772
0.035980219,0.055243914
0.03644849,0.536115447
0.036920806,0.531055353
0.037397185,-0.426409442
0.037877644,-0.272733859
0.0383622,0.232118551
0.038850872,-0.558338243
0.039343676,0.146969081
0.03984063,0.127642698
0.040341751,0.001829215
0.040847056,-0.652512295
0.041356564,0.167200755
0.041870291,0.528252774
0.042388255,0.153603177
0.042910473,-0.066467979
0.043436962,0.132952962
0.043967741,-0.115233278
0.044502826,-0.077308023
0.045042234,-0.103036059
0.045585984,0.005396736
0.046134093,0.377895031
0.046686577,-1.027500034
0.047243455,0.789661926
0.047804744,-0.112191255
0.04837046,1.180317011
0.048940623,-0.080889606
0.049515248,-0.010704131
0.050094354,0.346009321
0.050677957,0.51811938
0.051266076,-0.567828155
0.051858727,0.190734625
0.052455928,0.441761835
0.053057697,-0.122882131
0.05366405,-0.209462067
0.054275006,1.129897415
0.054890581,0.025147313
0.055510793,0.600891581
0.05613566,0.201306092
0.056765198,0.559952075
0.057399425,0.423002027
0.058038359,-0.089478752
0.058682017,0.927843873
0.059330416,-0.605090098
0.059983574,0.151654463
0.060641509,0.401685749
0.061304236,-0.077074429
0.061971775,-0.36709956
0.062644142,0.271904823
0.063321355,-0.562340366
0.064003431,-0.850052205
0.064690388,0.251798555
0.065382242,-0.458780533
0.066079012,0.167911997
0.066780715,-0.34105882
0.067487367,-0.835596556
0.068198988,0.634191154
0.068915593,-0.60639816
0.069637201,-0.273419268
0.070363828,-0.876311259
0.071095493,-0.383726826
0.071832212,-0.74258647
0.072574003,-0.2660718
0.073320883,-0.612584975
0.07407287,-0.102830564
0.074829981,-0.61013661
0.075592234,-0.030570477
0.076359646,0.886516923
0.077132234,-0.498157301
0.077910016,0.070048968
0.078693009,0.427231019
0.07948123,0.762278267
0.080274698,-0.293026321
0.081073429,-0.542095303
0.08187744,-0.233767026
0.08268675,-0.367023806
0.083501375,0.038630637
0.084321333,0.356328401
